Date,Open,High,Low,Closed,% Chg.,Change,Prev. Closed,Volume,Turnover
1994/01/26,1751.710000,1751.710000,1751.710000,1751.710000,100.000000,1751.710000,0.000000,312907,59195719
1994/01/29,1751.710000,1751.710000,1750.910000,1750.910000,-0.050000,-0.800000,1751.710000,204831,43518035
1994/01/30,1750.910000,1752.590000,1750.910000,1752.590000,0.100000,1.680000,1750.910000,180425,34072368
1994/01/31,1752.590000,1752.590000,1752.260000,1752.260000,-0.020000,-0.330000,1752.590000,212105,42559328
1994/02/01,1752.260000,1752.260000,1749.700000,1749.700000,-0.150000,-2.560000,1752.260000,176595,40531385
1994/02/02,1749.700000,1749.700000,1749.520000,1749.520000,-0.010000,-0.180000,1749.700000,253727,62297994
1994/02/05,1749.520000,1749.520000,1747.370000,1747.370000,-0.120000,-2.150000,1749.520000,64461,15028161
1994/02/06,1747.370000,1747.370000,1742.370000,1742.370000,-0.290000,-5.000000,1747.370000,285281,49585831
1994/02/07,1742.370000,1742.370000,1732.440000,1732.440000,-0.570000,-9.930000,1742.370000,249268,52874592
1994/02/08,1732.440000,1732.440000,1731.800000,1731.800000,-0.040000,-0.640000,1732.440000,198632,43483772
1994/02/09,1731.800000,1731.800000,1728.720000,1728.720000,-0.180000,-3.080000,1731.800000,131513,39595896
1994/02/12,1728.720000,1728.720000,1720.250000,1720.250000,-0.490000,-8.470000,1728.720000,235156,58087713
1994/02/13,1720.250000,1720.250000,1704.230000,1704.230000,-0.940000,-16.020000,1720.250000,335992,63462384
1994/02/14,1704.230000,1704.230000,1686.970000,1686.970000,-1.020000,-17.260000,1704.230000,232359,40452576
1994/02/15,1686.970000,1697.490000,1686.970000,1697.490000,0.620000,10.520000,1686.970000,284557,47768174
1994/02/16,1697.490000,1709.680000,1697.490000,1709.680000,0.710000,12.190000,1697.490000,329329,62802525
1994/02/19,1709.680000,1709.680000,1708.960000,1708.960000,-0.040000,-0.720000,1709.680000,186078,52197072
1994/02/20,1708.960000,1716.760000,1708.960000,1716.760000,0.450000,7.800000,1708.960000,247547,65168706
1994/02/21,1716.760000,1718.370000,1716.760000,1718.370000,0.090000,1.610000,1716.760000,291858,91361762
1994/02/22,1718.370000,1718.370000,1708.250000,1708.250000,-0.590000,-10.120000,1718.370000,265111,91931707
1994/02/23,1708.250000,1708.250000,1687.240000,1687.240000,-1.250000,-21.010000,1708.250000,357365,105817282
1994/02/26,1687.240000,1687.240000,1669.540000,1669.540000,-1.060000,-17.700000,1687.240000,210819,50714100
1994/02/27,1669.540000,1669.540000,1637.770000,1637.770000,-1.940000,-31.770000,1669.540000,405039,77606457
1994/02/28,1637.770000,1637.770000,1631.350000,1631.350000,-0.390000,-6.420000,1637.770000,335685,90545656
1994/03/01,1631.350000,1641.810000,1631.350000,1641.810000,0.640000,10.460000,1631.350000,229866,58482108
1994/03/02,1641.810000,1641.810000,1628.570000,1628.570000,-0.810000,-13.240000,1641.810000,270577,75768582
1994/03/05,1628.570000,1628.570000,1624.030000,1624.030000,-0.280000,-4.540000,1628.570000,185219,40868092
1994/03/06,1624.030000,1624.030000,1622.520000,1622.520000,-0.090000,-1.510000,1624.030000,93861,20831797
1994/03/07,1622.520000,1623.250000,1622.520000,1623.250000,0.040000,0.730000,1622.520000,223058,49024672
1994/03/08,1623.250000,1623.250000,1623.090000,1623.090000,-0.010000,-0.160000,1623.250000,196135,41505857
1994/03/09,1623.090000,1625.780000,1623.090000,1625.780000,0.170000,2.690000,1623.090000,242899,50540707
1994/03/19,1625.780000,1631.630000,1625.780000,1631.630000,0.360000,5.850000,1625.780000,72196,11488702
1994/03/20,1631.630000,1642.870000,1631.630000,1642.870000,0.680000,11.240000,1631.630000,165581,28882799
1994/03/21,1642.870000,1642.870000,1635.300000,1635.300000,-0.460000,-7.570000,1642.870000,380232,60866578
1994/03/22,1635.300000,1635.300000,1623.560000,1623.560000,-0.720000,-11.740000,1635.300000,314754,58465302
1994/03/23,1623.560000,1623.560000,1602.400000,1602.400000,-1.320000,-21.160000,1623.560000,230974,47969227
1994/03/26,1602.400000,1602.400000,1584.140000,1584.140000,-1.150000,-18.260000,1602.400000,417846,67385485
1994/03/27,1584.140000,1584.140000,1526.060000,1526.060000,-3.810000,-58.080000,1584.140000,457844,84839229
1994/03/28,1526.060000,1526.060000,1523.320000,1523.320000,-0.180000,-2.740000,1526.060000,320263,65173513
1994/03/29,1523.320000,1523.320000,1521.050000,1521.050000,-0.150000,-2.270000,1523.320000,496475,99654005
1994/03/30,1521.050000,1524.800000,1521.050000,1524.800000,0.250000,3.750000,1521.050000,353278,69492243
1994/04/02,1524.800000,1532.150000,1524.800000,1532.150000,0.480000,7.350000,1524.800000,384677,69703877
1994/04/03,1532.150000,1534.040000,1532.150000,1534.040000,0.120000,1.890000,1532.150000,386398,75022271
1994/04/04,1534.040000,1534.040000,1524.970000,1524.970000,-0.590000,-9.070000,1534.040000,301453,63156747
1994/04/05,1524.970000,1524.970000,1515.000000,1515.000000,-0.660000,-9.970000,1524.970000,287694,51377733
1994/04/06,1515.000000,1515.000000,1502.110000,1502.110000,-0.860000,-12.890000,1515.000000,349251,79112771
1994/04/09,1502.110000,1502.110000,1486.690000,1486.690000,-1.040000,-15.420000,1502.110000,302653,58329363
1994/04/10,1486.690000,1486.690000,1471.380000,1471.380000,-1.040000,-15.310000,1486.690000,204153,43435591
1994/04/11,1471.380000,1471.380000,1449.240000,1449.240000,-1.530000,-22.140000,1471.380000,497695,103807561
1994/04/12,1449.240000,1449.240000,1411.150000,1411.150000,-2.700000,-38.090000,1449.240000,536420,112858790
1994/04/13,1411.150000,1411.150000,1377.370000,1377.370000,-2.450000,-33.780000,1411.150000,465418,75120768
1994/04/16,1377.370000,1423.050000,1377.370000,1423.050000,3.210000,45.680000,1377.370000,419013,66792919
1994/04/17,1423.050000,1423.050000,1422.000000,1422.000000,-0.070000,-1.050000,1423.050000,474172,95302367
1994/04/18,1422.000000,1422.000000,1420.580000,1420.580000,-0.100000,-1.420000,1422.000000,453329,64224517
1994/04/19,1420.580000,1423.650000,1420.580000,1423.650000,0.220000,3.070000,1420.580000,424645,64081869
1994/04/20,1423.650000,1433.170000,1423.650000,1433.170000,0.660000,9.520000,1423.650000,533849,95726409
1994/04/23,1433.170000,1456.400000,1433.170000,1456.400000,1.600000,23.230000,1433.170000,615620,103555797
1994/04/24,1456.400000,1507.800000,1456.400000,1507.800000,3.410000,51.400000,1456.400000,988797,153205873
1994/04/25,1507.800000,1507.800000,1490.580000,1490.580000,-1.160000,-17.220000,1507.800000,681255,119262943
1994/04/26,1490.580000,1509.330000,1490.580000,1509.330000,1.240000,18.750000,1490.580000,498686,91735161
1994/04/27,1509.330000,1533.620000,1509.330000,1533.620000,1.580000,24.290000,1509.330000,649826,141581084
1994/04/30,1533.620000,1556.870000,1533.620000,1556.870000,1.490000,23.250000,1533.620000,873372,172060008
1994/05/01,1556.870000,1556.870000,1530.380000,1530.380000,-1.730000,-26.490000,1556.870000,584647,125538831
1994/05/02,1530.380000,1530.380000,1514.160000,1514.160000,-1.070000,-16.220000,1530.380000,631300,131923747
1994/05/03,1514.160000,1531.890000,1514.160000,1531.890000,1.160000,17.730000,1514.160000,673199,131199007
1994/05/04,1531.890000,1531.890000,1531.400000,1531.400000,-0.030000,-0.490000,1531.890000,372698,73792538
1994/05/07,1531.400000,1531.400000,1519.780000,1519.780000,-0.760000,-11.620000,1531.400000,488747,93183167
1994/05/08,1519.780000,1519.780000,1513.050000,1513.050000,-0.440000,-6.730000,1519.780000,486961,79607797
1994/05/09,1513.050000,1513.050000,1500.080000,1500.080000,-0.860000,-12.970000,1513.050000,510260,90920101
1994/05/10,1500.080000,1500.080000,1475.720000,1475.720000,-1.650000,-24.360000,1500.080000,481579,82703921
1994/05/11,1475.720000,1475.720000,1458.140000,1458.140000,-1.210000,-17.580000,1475.720000,437041,72610621
1994/05/14,1458.140000,1458.140000,1457.760000,1457.760000,-0.030000,-0.380000,1458.140000,224846,38146446
1994/05/15,1457.760000,1473.700000,1457.760000,1473.700000,1.080000,15.940000,1457.760000,425109,84411658
1994/05/16,1473.700000,1473.700000,1471.680000,1471.680000,-0.140000,-2.020000,1473.700000,216598,37909135
1994/05/17,1471.680000,1482.780000,1471.680000,1482.780000,0.750000,11.100000,1471.680000,536745,109301602
1994/05/29,1482.780000,1482.780000,1474.010000,1474.010000,-0.590000,-8.770000,1482.780000,310022,49836062
1994/05/30,1474.010000,1474.010000,1469.690000,1469.690000,-0.290000,-4.320000,1474.010000,295876,56276883
1994/05/31,1469.690000,1470.820000,1469.690000,1470.820000,0.080000,1.130000,1469.690000,403000,64453144
1994/06/01,1470.820000,1470.820000,1462.290000,1462.290000,-0.580000,-8.530000,1470.820000,272936,42770409
1994/06/02,1462.290000,1462.290000,1462.290000,1462.290000,0.000000,0.000000,1462.290000,144212,25726664
1994/06/04,1462.290000,1476.480000,1462.290000,1476.480000,0.960000,14.190000,1462.290000,744237,114858226
1994/06/05,1476.480000,1476.960000,1476.480000,1476.960000,0.030000,0.480000,1476.480000,507556,80544037
1994/06/06,1476.960000,1476.960000,1466.550000,1466.550000,-0.710000,-10.410000,1476.960000,614298,94203566
1994/06/07,1466.550000,1467.020000,1466.550000,1467.020000,0.030000,0.470000,1466.550000,837772,109089574
1994/06/08,1467.020000,1471.070000,1467.020000,1471.070000,0.280000,4.050000,1467.020000,1168913,168536204
1994/06/09,1471.070000,1471.070000,1464.730000,1464.730000,-0.430000,-6.340000,1471.070000,572799,86798796
1994/06/11,1464.730000,1464.730000,1463.500000,1463.500000,-0.080000,-1.230000,1464.730000,700542,112567629
1994/06/12,1463.500000,1463.500000,1457.120000,1457.120000,-0.440000,-6.380000,1463.500000,428932,72818292
1994/06/13,1457.120000,1457.120000,1443.130000,1443.130000,-0.970000,-13.990000,1457.120000,462397,68449736
1994/06/14,1443.130000,1443.130000,1424.820000,1424.820000,-1.290000,-18.310000,1443.130000,386936,65464446
1994/06/15,1424.820000,1424.820000,1419.960000,1419.960000,-0.340000,-4.860000,1424.820000,636662,81467070
1994/06/16,1419.960000,1420.950000,1419.960000,1420.950000,0.070000,0.990000,1419.960000,355075,45402755
1994/06/18,1420.950000,1421.590000,1420.950000,1421.590000,0.050000,0.640000,1420.950000,705496,96044227
1994/06/19,1421.590000,1421.590000,1420.850000,1420.850000,-0.050000,-0.740000,1421.590000,696394,91224352
1994/06/20,1420.850000,1420.950000,1420.850000,1420.950000,0.010000,0.100000,1420.850000,668216,101756457
1994/06/21,1420.950000,1420.950000,1417.010000,1417.010000,-0.280000,-3.940000,1420.950000,654511,85312925
1994/06/22,1417.010000,1417.010000,1412.760000,1412.760000,-0.300000,-4.250000,1417.010000,345353,43697761
1994/06/23,1412.760000,1413.580000,1412.760000,1413.580000,0.060000,0.820000,1412.760000,257850,27542447
1994/06/25,1413.580000,1413.580000,1409.000000,1409.000000,-0.330000,-4.580000,1413.580000,525708,65481077
1994/06/26,1409.000000,1409.000000,1405.660000,1405.660000,-0.240000,-3.340000,1409.000000,395680,55788170
